"name","type","brand","model","specs"
"128 DDR Radeon 9700 TX w/TV-Out","GPU","RADEON","Radeon 9700 TX w/TV-Out","Memory: 128DDR"
"128 DDR Radeon 9800 Pro","GPU","RADEON","Radeon 9800 Pro","Memory: 128DDR"
"128MB DDR Radeon 9800 Pro","GPU","RADEON","DDR Radeon 9800 Pro","Memory: 128MB"
"128MB RADEON X600 SE","GPU","RADEON","RADEON X600 SE","Memory: 128MB"
"15FF","GPU","UNKNOWN","15FF","Memory: Unknown"
"256MB DDR Radeon 9800 XT","GPU","RADEON","DDR Radeon 9800 XT","Memory: 256MB"
"256MB RADEON X600","GPU","RADEON","RADEON X600","Memory: 256MB"
"3DP Edition","GPU","UNKNOWN","3DP Edition","Memory: Unknown"
"64MB DDR GeForce3 Ti 200","GPU","UNKNOWN","DDR GeForce3 Ti 200","Memory: 64MB"
"64MB GeForce2 MX with TV Out","GPU","UNKNOWN","GeForce2 MX with TV Out","Memory: 64MB"
"7900 MOD - Radeon HD 6520G","GPU","RADEON","7900 MOD - Radeon HD 6520G","Memory: Unknown"
"7900 MOD - Radeon HD 6550D","GPU","RADEON","7900 MOD - Radeon HD 6550D","Memory: Unknown"
"9xx Soldiers sans frontiers Sigma 2","GPU","UNKNOWN","9xx Soldiers sans frontiers Sigma 2","Memory: Unknown"
"A10-8700P","GPU","UNKNOWN","A10-8700P","Memory: Unknown"
"A6 Micro-6500T Quad-Core APU with RadeonR4","GPU","UNKNOWN","A6 Micro-6500T Quad-Core APU with RadeonR4","Memory: Unknown"
"ABIT Siluro T400","GPU","UNKNOWN","ABIT Siluro T400","Memory: Unknown"
"ALL-IN-WONDER 9000","GPU","UNKNOWN","ALL-IN-WONDER 9000","Memory: Unknown"
"ALL-IN-WONDER 9800","GPU","UNKNOWN","ALL-IN-WONDER 9800","Memory: Unknown"
"ALL-IN-WONDER RADEON 8500DV","GPU","RADEON","ALL-IN-WONDER RADEON 8500DV","Memory: Unknown"
"All-in-Wonder X1800XL","GPU","UNKNOWN","All-in-Wonder X1800XL","Memory: Unknown"
"All-in-Wonder X1900","GPU","UNKNOWN","All-in-Wonder X1900","Memory: Unknown"
"ALL-IN-WONDER X800 GT","GPU","UNKNOWN","ALL-IN-WONDER X800 GT","Memory: Unknown"
"AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI","GPU","UNKNOWN","AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI","Memory: Unknown"
"ASUS A7000","GPU","UNKNOWN","ASUS A7000","Memory: Unknown"
"ASUS AGP-V3800PRO v31.40H","GPU","UNKNOWN","ASUS AGP-V3800PRO v31.40H","Memory: Unknown"
"ASUS EAH4870x2","GPU","UNKNOWN","ASUS EAH4870x2","Memory: Unknown"
"Asus GTX 650 FML II EC-EGPU","GPU","UNKNOWN","Asus GTX 650 FML II EC-EGPU","Memory: Unknown"
"ASUS V9520-X V62.11","GPU","UNKNOWN","ASUS V9520-X V62.11","Memory: Unknown"
"B8DKMDAP","GPU","UNKNOWN","B8DKMDAP","Memory: Unknown"
"Barco MXRT 1450","GPU","UNKNOWN","Barco MXRT 1450","Memory: Unknown"
"Barco MXRT 2600","GPU","UNKNOWN","Barco MXRT 2600","Memory: Unknown"
"Barco MXRT 5400","GPU","UNKNOWN","Barco MXRT 5400","Memory: Unknown"
"Barco MXRT 5450","GPU","UNKNOWN","Barco MXRT 5450","Memory: Unknown"
"Barco MXRT 5500","GPU","UNKNOWN","Barco MXRT 5500","Memory: Unknown"
"Barco MXRT 7100","GPU","UNKNOWN","Barco MXRT 7100","Memory: Unknown"
"Barco MXRT 7400","GPU","UNKNOWN","Barco MXRT 7400","Memory: Unknown"
"Barco MXRT 7500","GPU","UNKNOWN","Barco MXRT 7500","Memory: Unknown"
"Barco MXRT 7600","GPU","UNKNOWN","Barco MXRT 7600","Memory: Unknown"
"BASICDISPLAY","GPU","UNKNOWN","BASICDISPLAY","Memory: Unknown"
"CARRIZO 9874","GPU","UNKNOWN","CARRIZO 9874","Memory: Unknown"
"Citrix Indirect Display Adapter","GPU","UNKNOWN","Citrix Indirect Display Adapter","Memory: Unknown"
"CONNECT 3D RADEON X300","GPU","RADEON","CONNECT 3D RADEON X300","Memory: Unknown"
"Dell 8100","GPU","UNKNOWN","Dell 8100","Memory: Unknown"
"Dell 8200","GPU","UNKNOWN","Dell 8200","Memory: Unknown"
"Diamond X1300-PCIE 256MB","GPU","UNKNOWN","Diamond X1300-PCIE 256MB","Memory: 256MB"
"EAH5450","GPU","UNKNOWN","EAH5450","Memory: Unknown"
"EG PARK","GPU","UNKNOWN","EG PARK","Memory: Unknown"
"EIZO Quadro MED-XN51LP","GPU","UNKNOWN","EIZO Quadro MED-XN51LP","Memory: Unknown"
"Embedded Radeon E9173","GPU","RADEON","Embedded Radeon E9173","Memory: Unknown"
"Extreme AX850 PRO","GPU","UNKNOWN","Extreme AX850 PRO","Memory: Unknown"
"Familia Intel Q33 Express Chipset","GPU","UNKNOWN","Familia Intel Q33 Express Chipset","Memory: Unknown"
"Famille de jeu de puces Express Intel 946GZ","GPU","UNKNOWN","Famille de jeu de puces Express Intel 946GZ","Memory: Unknown"
"FireGL T2-128","GPU","UNKNOWN","FireGL T2-128","Memory: Unknown"
"FireGL V3100","GPU","UNKNOWN","FireGL V3100","Memory: Unknown"
"FireGL V3200","GPU","UNKNOWN","FireGL V3200","Memory: Unknown"
"FireGL V3300","GPU","UNKNOWN","FireGL V3300","Memory: Unknown"
"FireGL V3350","GPU","UNKNOWN","FireGL V3350","Memory: Unknown"
"FireGL V3400","GPU","UNKNOWN","FireGL V3400","Memory: Unknown"
"FireGL V3600","GPU","UNKNOWN","FireGL V3600","Memory: Unknown"
"FireGL V5100","GPU","UNKNOWN","FireGL V5100","Memory: Unknown"
"FireGL V5200","GPU","UNKNOWN","FireGL V5200","Memory: Unknown"
"FireGL V5600","GPU","UNKNOWN","FireGL V5600","Memory: Unknown"
"FireGL V7100","GPU","UNKNOWN","FireGL V7100","Memory: Unknown"
"FireGL V7200","GPU","UNKNOWN","FireGL V7200","Memory: Unknown"
"FireGL V7300","GPU","UNKNOWN","FireGL V7300","Memory: Unknown"
"FireGL V7350","GPU","UNKNOWN","FireGL V7350","Memory: Unknown"
"FireGL V7600","GPU","UNKNOWN","FireGL V7600","Memory: Unknown"
"FireGL V7700","GPU","UNKNOWN","FireGL V7700","Memory: Unknown"
"FireGL V8600","GPU","UNKNOWN","FireGL V8600","Memory: Unknown"
"FireGL V8650","GPU","UNKNOWN","FireGL V8650","Memory: Unknown"
"FireGL X1","GPU","UNKNOWN","FireGL X1","Memory: Unknown"
"FireMV 2200 PCI","GPU","UNKNOWN","FireMV 2200 PCI","Memory: Unknown"
"FireMV 2200 PCIe","GPU","UNKNOWN","FireMV 2200 PCIe","Memory: Unknown"
"FireMV 2250","GPU","UNKNOWN","FireMV 2250","Memory: Unknown"
"FireMV 2260","GPU","UNKNOWN","FireMV 2260","Memory: Unknown"
"FireMV 2400 PCIe","GPU","UNKNOWN","FireMV 2400 PCIe","Memory: Unknown"
"FireMV 2450","GPU","UNKNOWN","FireMV 2450","Memory: Unknown"
"FirePro 2260","GPU","UNKNOWN","FirePro 2260","Memory: Unknown"
"FirePro 2270","GPU","UNKNOWN","FirePro 2270","Memory: Unknown"
"FirePro 2450","GPU","UNKNOWN","FirePro 2450","Memory: Unknown"
"FirePro 2460","GPU","UNKNOWN","FirePro 2460","Memory: Unknown"
"FirePro 3D V3700","GPU","UNKNOWN","FirePro 3D V3700","Memory: Unknown"
"FirePro 3D V3750","GPU","UNKNOWN","FirePro 3D V3750","Memory: Unknown"
"FirePro 3D V3800","GPU","UNKNOWN","FirePro 3D V3800","Memory: Unknown"
"FirePro 3D V4800","GPU","UNKNOWN","FirePro 3D V4800","Memory: Unknown"
"FirePro 3D V5700","GPU","UNKNOWN","FirePro 3D V5700","Memory: Unknown"
"FirePro 3D V5800","GPU","UNKNOWN","FirePro 3D V5800","Memory: Unknown"
"FirePro 3D V7750","GPU","UNKNOWN","FirePro 3D V7750","Memory: Unknown"
"FirePro 3D V7800","GPU","UNKNOWN","FirePro 3D V7800","Memory: Unknown"
"FirePro 3D V8700","GPU","UNKNOWN","FirePro 3D V8700","Memory: Unknown"
"FirePro 3D V8750","GPU","UNKNOWN","FirePro 3D V8750","Memory: Unknown"
"FirePro 3D V8800","GPU","UNKNOWN","FirePro 3D V8800","Memory: Unknown"
"FirePro 3D V9800","GPU","UNKNOWN","FirePro 3D V9800","Memory: Unknown"
"FirePro M2000","GPU","UNKNOWN","FirePro M2000","Memory: Unknown"
"FirePro M4000","GPU","UNKNOWN","FirePro M4000","Memory: Unknown"
"FirePro M4000 Mobility Pro","GPU","UNKNOWN","FirePro M4000 Mobility Pro","Memory: Unknown"
"FirePro M40003","GPU","UNKNOWN","FirePro M40003","Memory: Unknown"
"Firepro M4100","GPU","UNKNOWN","Firepro M4100","Memory: Unknown"
"FirePro M4150","GPU","UNKNOWN","FirePro M4150","Memory: Unknown"
"FirePro M4170","GPU","UNKNOWN","FirePro M4170","Memory: Unknown"
"FirePro M5100","GPU","UNKNOWN","FirePro M5100","Memory: Unknown"
"FirePro M5100 FireGL V","GPU","UNKNOWN","FirePro M5100 FireGL V","Memory: Unknown"
"FirePro M5950","GPU","UNKNOWN","FirePro M5950","Memory: Unknown"
"FirePro M6000","GPU","UNKNOWN","FirePro M6000","Memory: Unknown"
"FirePro M6000 Mobility Pro","GPU","UNKNOWN","FirePro M6000 Mobility Pro","Memory: Unknown"
"FirePro M6100","GPU","UNKNOWN","FirePro M6100","Memory: Unknown"
"FirePro M6100 FireGL V","GPU","UNKNOWN","FirePro M6100 FireGL V","Memory: Unknown"
"FirePro M7740","GPU","UNKNOWN","FirePro M7740","Memory: Unknown"
"FirePro R5000","GPU","UNKNOWN","FirePro R5000","Memory: Unknown"
"FirePro RG220","GPU","UNKNOWN","FirePro RG220","Memory: Unknown"
"FirePro S10000","GPU","UNKNOWN","FirePro S10000","Memory: Unknown"
"FirePro S7000","GPU","UNKNOWN","FirePro S7000","Memory: Unknown"
"FirePro S7150","GPU","UNKNOWN","FirePro S7150","Memory: Unknown"
"FirePro S9000","GPU","UNKNOWN","FirePro S9000","Memory: Unknown"
"FirePro S9050","GPU","UNKNOWN","FirePro S9050","Memory: Unknown"
