"name","type","brand","model","specs"
"Gigabyte GA-A320M-S2H","Motherboard","Gigabyte","GA-A320M-S2H","Socket: AM4, Chipset: AMD A320"
"Asus Prime A320M-K","Motherboard","Asus","Prime A320M-K","Socket: AM4, Chipset: AMD A320"
"Asus EX-A320M-Gaming","Motherboard","Asus","EX-A320M-Gaming","Socket: AM4, Chipset: AMD A320"
"Asrock B450M Steel Legend","Motherboard","Asrock","B450M Steel Legend","Socket: AM4, Chipset: AMD B450"
"Asrock A320M-HDV","Motherboard","Asrock","A320M-HDV","Socket: AM4, Chipset: AMD A320"
"Gigabyte Z390 UD","Motherboard","Gigabyte","Z390 UD","Socket: LGA 1151, Chipset: Intel Z390"
"Gigabyte Z370P D3","Motherboard","Gigabyte","Z370P D3","Socket: LGA 1151, Chipset: Intel Z370"
"Gigabyte B450 Aorus Elite","Motherboard","Gigabyte","B450 Aorus Elite","Socket: AM4, Chipset: AMD B450"
"Gigabyte GA-H110-D3A","Motherboard","Gigabyte","GA-H110-D3A","Socket: LGA 1151, Chipset: Intel H110"
"Colorful C.A320M-K Pro V14","Motherboard","Colorful","C.A320M-K Pro V14","Socket: AM4, Chipset: AMD A320"
"MSI Z390-A Pro","Motherboard","MSI","Z390-A Pro","Socket: LGA 1151, Chipset: Intel Z390"
"Asus Z170 Pro Gaming","Motherboard","Asus","Z170 Pro Gaming","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte GA-B250M-D3H","Motherboard","Gigabyte","GA-B250M-D3H","Socket: LGA 1151, Chipset: Intel B250"
"Asus Prime Z390-A","Motherboard","Asus","Prime Z390-A","Socket: LGA 1151, Chipset: Intel Z390"
"Gigabyte GA-H110M-DS2","Motherboard","Gigabyte","GA-H110M-DS2","Socket: LGA 1151, Chipset: Intel H110"
"Asrock Z370 Pro4","Motherboard","Asrock","Z370 Pro4","Socket: LGA 1151, Chipset: Intel Z370"
"Gigabyte Z390 Gaming X","Motherboard","Gigabyte","Z390 Gaming X","Socket: LGA 1151, Chipset: Intel Z390"
"Asrock B450 Steel Legend","Motherboard","Asrock","B450 Steel Legend","Socket: AM4, Chipset: AMD B450"
"Gigabyte Z370 HD3","Motherboard","Gigabyte","Z370 HD3","Socket: LGA 1151, Chipset: Intel Z370"
"MSI A320M Pro-VD/S","Motherboard","MSI","A320M Pro-VD/S","Socket: AM4, Chipset: AMD A320"
"Asrock B250M Pro4","Motherboard","Asrock","B250M Pro4","Socket: LGA 1151, Chipset: Intel B250"
"Asus Prime Z370-P","Motherboard","Asus","Prime Z370-P","Socket: LGA 1151, Chipset: Intel Z370"
"Asus ROG Strix X570-E Gaming","Motherboard","Asus","ROG Strix X570-E Gaming","Socket: AM4, Chipset: AMD X570"
"Gigabyte B450M Gaming","Motherboard","Gigabyte","B450M Gaming","Socket: AM4, Chipset: AMD B450"
"Gigabyte GA-B150M-D3H","Motherboard","Gigabyte","GA-B150M-D3H","Socket: LGA 1151, Chipset: Intel B150"
"Gigabyte GA-B250M-DS3H","Motherboard","Gigabyte","GA-B250M-DS3H","Socket: LGA 1151, Chipset: Intel B250"
"Asrock A320M-HDV R4.0","Motherboard","Asrock","A320M-HDV R4.0","Socket: AM4, Chipset: AMD A320"
"Maxsun MS-B350FX Gaming Pro","Motherboard","Maxsun","MS-B350FX Gaming Pro","Socket: AM4, Chipset: AMD B350"
"Gigabyte Z370M D3H","Motherboard","Gigabyte","Z370M D3H","Socket: LGA 1151, Chipset: Intel Z370"
"Asus ROG Maximus X Hero","Motherboard","Asus","ROG Maximus X Hero","Socket: LGA 1151, Chipset: Intel Z370"
"Gigabyte X570 Aorus Elite","Motherboard","Gigabyte","X570 Aorus Elite","Socket: AM4, Chipset: AMD X570"
"Gigabyte Z370 Aorus Gaming 5","Motherboard","Gigabyte","Z370 Aorus Gaming 5","Socket: LGA 1151, Chipset: Intel Z370"
"Asus ROG Maximus VII Hero","Motherboard","Asus","ROG Maximus VII Hero","Socket: LGA 1150, Chipset: Intel Z97"
"Asus ROG Crosshair V Formula-Z","Motherboard","Asus","ROG Crosshair V Formula-Z","Socket: AM3+, Chipset: AMD 990FX"
"MSI B450M Pro-M2","Motherboard","MSI","B450M Pro-M2","Socket: AM4, Chipset: AMD B450"
"Asus ROG Rampage II Extreme","Motherboard","Asus","ROG Rampage II Extreme","Socket: LGA 1366, Chipset: Intel X58"
"MSI B450M Pro-VDH","Motherboard","MSI","B450M Pro-VDH","Socket: AM4, Chipset: AMD B450"
"Asrock H110M-HDV R3.0","Motherboard","Asrock","H110M-HDV R3.0","Socket: LGA 1151, Chipset: Intel H110"
"MSI MPG X570 Gaming Edge Wifi","Motherboard","MSI","MPG X570 Gaming Edge Wifi","Socket: AM4, Chipset: AMD X570"
"Gigabyte GA-H110M-S2","Motherboard","Gigabyte","GA-H110M-S2","Socket: LGA 1151, Chipset: Intel H110"
"Asrock H110M-DVS R3.0","Motherboard","Asrock","H110M-DVS R3.0","Socket: LGA 1151, Chipset: Intel H110"
"MSI B350M Gaming Pro","Motherboard","MSI","B350M Gaming Pro","Socket: AM4, Chipset: AMD B350"
"Asus Z170-A","Motherboard","Asus","Z170-A","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte GA-A320M-DS2","Motherboard","Gigabyte","GA-A320M-DS2","Socket: AM4, Chipset: AMD A320"
"Asrock B450M-HDV R4.0","Motherboard","Asrock","B450M-HDV R4.0","Socket: AM4, Chipset: AMD B450"
"Gigabyte GA-B250M-D2V","Motherboard","Gigabyte","GA-B250M-D2V","Socket: LGA 1151, Chipset: Intel B250"
"MSI B350M Bazooka","Motherboard","MSI","B350M Bazooka","Socket: AM4, Chipset: AMD B350"
"Gigabyte Z390 Aorus Elite","Motherboard","Gigabyte","Z390 Aorus Elite","Socket: LGA 1151, Chipset: Intel Z390"
"Biostar TB250-BTC Pro","Motherboard","Biostar","TB250-BTC Pro","Socket: LGA 1151, Chipset: Intel B250"
