"name","type","brand","model","specs"
"06/8c","CPU","06/8c","undefined undefined","Cores: 8, TDP: NAW"
"06/8e","CPU","06/8e","undefined undefined","Cores: 8, TDP: NAW"
"15/70","CPU","15/70","undefined undefined","Cores: 2, TDP: NAW"
"AArch64 rev 0 (aarch64)","CPU","AArch64","rev 0","Cores: 8, TDP: NAW"
"AArch64 rev 1 (aarch64)","CPU","AArch64","rev 1","Cores: 8, TDP: NAW"
"AArch64 rev 2 (aarch64)","CPU","AArch64","rev 2","Cores: 8, TDP: NAW"
"AArch64 rev 4 (aarch64)","CPU","AArch64","rev 4","Cores: 8, TDP: NAW"
"AC8257V/WAB","CPU","AC8257V/WAB","undefined undefined","Cores: 8, TDP: NAW"
"AMD 3015Ce","CPU","AMD","3015Ce undefined","Cores: 2, TDP: 6W"
"AMD 3015e","CPU","AMD","3015e undefined","Cores: 2, TDP: 6W"
"AMD 3020e","CPU","AMD","3020e undefined","Cores: 2, TDP: 6W"
"AMD 4700S","CPU","AMD","4700S undefined","Cores: 8, TDP: NAW"
"AMD A10 Micro-6700T APU","CPU","AMD","A10 Micro-6700T","Cores: 4, TDP: 5W"
"AMD A10 PRO-7350B APU","CPU","AMD","A10 PRO-7350B","Cores: 4, TDP: 19W"
"AMD A10 PRO-7800B APU","CPU","AMD","A10 PRO-7800B","Cores: 2, TDP: 65W"
"AMD A10 PRO-7850B APU","CPU","AMD","A10 PRO-7850B","Cores: 2, TDP: 95W"
"AMD A10-4600M APU","CPU","AMD","A10-4600M APU","Cores: 2, TDP: 35W"
"AMD A10-4655M APU","CPU","AMD","A10-4655M APU","Cores: 2, TDP: 25W"
"AMD A10-4657M APU","CPU","AMD","A10-4657M APU","Cores: 4, TDP: 35W"
"AMD A10-5700 APU","CPU","AMD","A10-5700 APU","Cores: 2, TDP: 65W"
"AMD A10-5745M APU","CPU","AMD","A10-5745M APU","Cores: 4, TDP: 25W"
"AMD A10-5750M APU","CPU","AMD","A10-5750M APU","Cores: 4, TDP: 35W"
"AMD A10-5757M APU","CPU","AMD","A10-5757M APU","Cores: 4, TDP: 35W"
"AMD A10-5800B APU","CPU","AMD","A10-5800B APU","Cores: 2, TDP: 100W"
"AMD A10-5800K APU","CPU","AMD","A10-5800K APU","Cores: 2, TDP: 100W"
"AMD A10-6700 APU","CPU","AMD","A10-6700 APU","Cores: 4, TDP: 65W"
"AMD A10-6700T APU","CPU","AMD","A10-6700T APU","Cores: 2, TDP: 45W"
"AMD A10-6790K APU","CPU","AMD","A10-6790K APU","Cores: 2, TDP: 100W"
"AMD A10-6800B APU","CPU","AMD","A10-6800B APU","Cores: 2, TDP: 100W"
