name,type,brand,model,specs
Intel Core i9-12900K,CPU,Intel,Core i9-12900K,"Cores: 16, TDP: 125W"
Intel Core i7-12700K,CPU,Intel,Core i7-12700K,"Cores: 12, TDP: 125W"
Intel Core i5-12600K,CPU,Intel,Core i5-12600K,"Cores: 10, TDP: 125W"
Intel Core i5-12400F,CPU,Intel,Core i5-12400F,"Cores: 6, TDP: 65W"
Intel Core i3-12100F,CPU,Intel,Core i3-12100F,"Cores: 4, TDP: 60W"
AMD Ryzen 9 5900X,CPU,AMD,Ryzen 9 5900X,"Cores: 12, TDP: 105W"
AMD Ryzen 7 5800X,CPU,AMD,Ryzen 7 5800X,"Cores: 8, TDP: 105W"
AMD Ryzen 5 5600X,CPU,AMD,Ryzen 5 5600X,"Cores: 6, TDP: 65W"
AMD Ryzen 5 5500,CPU,AMD,Ryzen 5 5500,"Cores: 6, TDP: 65W"
AMD Ryzen 3 5300G,CPU,AMD,Ryzen 3 5300G,"Cores: 4, TDP: 65W"
AMD Ryzen 9 7950X,CPU,AMD,Ryzen 9 7950X,"Cores: 16, TDP: 170W"
AMD Ryzen 7 7700X,CPU,AMD,Ryzen 7 7700X,"Cores: 8, TDP: 105W"
AMD Ryzen 5 7600X,CPU,AMD,Ryzen 5 7600X,"Cores: 6, TDP: 105W"
Intel Core i9-13900K,CPU,Intel,Core i9-13900K,"Cores: 24, TDP: 125W"
Intel Core i7-13700K,CPU,Intel,Core i7-13700K,"Cores: 16, TDP: 125W"
Intel Core i5-13600K,CPU,Intel,Core i5-13600K,"Cores: 14, TDP: 125W"
Intel Core i5-13400,CPU,Intel,Core i5-13400,"Cores: 10, TDP: 65W"
Intel Core i3-13100,CPU,Intel,Core i3-13100,"Cores: 4, TDP: 60W"
